step 0: train loss 10.9210, val loss 10.9203
iter 3930: loss 3.6553, time 749.76ms, mfu 74.79%
iter 3940: loss 3.7303, time 747.54ms, mfu 74.80%
iter 3950: loss 3.7435, time 749.59ms, mfu 74.79%
iter 3960: loss 3.6236, time 747.22ms, mfu 74.80%
iter 3970: loss 3.6229, time 750.29ms, mfu 74.78%
iter 3980: loss 3.6042, time 750.49ms, mfu 74.77%
iter 3990: loss 3.6106, time 750.12ms, mfu 74.75%
step 4000: train loss 3.6607, val loss 3.6628
saving checkpoint to out
iter 4000: loss 3.7365, time 21923.59ms, mfu 67.53%
iter 4010: loss 3.6756, time 748.93ms, mfu 68.26%
iter 4020: loss 3.5297, time 750.03ms, mfu 68.89%
iter 4030: loss 3.5989, time 750.54ms, mfu 69.47%
iter 4040: loss 3.6423, time 751.03ms, mfu 69.97%
iter 4050: loss 3.7103, time 750.81ms, mfu 70.43%
iter 4060: loss 3.5910, time 750.90ms, mfu 70.85%
iter 4070: loss 3.7015, time 748.43ms, mfu 71.24%
iter 4080: loss 3.6665, time 750.37ms, mfu 71.58%
iter 4090: loss 3.6931, time 751.63ms, mfu 71.87%
iter 4100: loss 3.6360, time 748.76ms, mfu 72.16%
iter 4110: loss 3.6377, time 748.65ms, mfu 72.42%
iter 4120: loss 3.6024, time 749.92ms, mfu 72.65%
iter 4130: loss 3.6518, time 750.33ms, mfu 72.84%
iter 4140: loss 3.6431, time 751.35ms, mfu 73.01%
iter 4150: loss 3.5227, time 750.42ms, mfu 73.17%
iter 4160: loss 3.6569, time 749.42ms, mfu 73.33%
iter 4170: loss 3.6375, time 750.27ms, mfu 73.46%
iter 4180: loss 3.6651, time 751.33ms, mfu 73.56%
iter 4190: loss 3.6498, time 751.68ms, mfu 73.65%
iter 4200: loss 3.6898, time 747.36ms, mfu 73.78%
iter 4210: loss 3.6333, time 750.54ms, mfu 73.86%
iter 4220: loss 3.6136, time 749.31ms, mfu 73.95%
iter 4230: loss 3.6822, time 751.18ms, mfu 74.01%
iter 4240: loss 3.7034, time 749.76ms, mfu 74.07%
iter 4250: loss 3.6306, time 750.93ms, mfu 74.12%
iter 4260: loss 3.5852, time 747.52ms, mfu 74.20%
iter 4270: loss 3.6593, time 751.27ms, mfu 74.23%
iter 4280: loss 3.6689, time 747.19ms, mfu 74.30%
iter 4290: loss 3.6003, time 748.91ms, mfu 74.35%
iter 4300: loss 3.6180, time 745.22ms, mfu 74.43%
iter 4310: loss 3.5791, time 752.41ms, mfu 74.42%
iter 4320: loss 3.6684, time 750.27ms, mfu 74.44%
iter 4330: loss 3.5655, time 746.60ms, mfu 74.50%
iter 4340: loss 3.6140, time 748.63ms, mfu 74.53%
iter 4350: loss 3.6388, time 748.55ms, mfu 74.56%
iter 4360: loss 3.6039, time 748.84ms, mfu 74.58%
iter 4370: loss 3.5698, time 747.62ms, mfu 74.61%
iter 4380: loss 3.6388, time 749.98ms, mfu 74.61%
iter 4390: loss 3.6258, time 750.58ms, mfu 74.61%
iter 4400: loss 3.6772, time 746.91ms, mfu 74.65%
iter 4410: loss 3.5770, time 750.48ms, mfu 74.64%
iter 4420: loss 3.5483, time 750.42ms, mfu 74.64%
iter 4430: loss 3.5798, time 750.29ms, mfu 74.64%
iter 4440: loss 3.6481, time 750.62ms, mfu 74.63%
iter 4450: loss 3.5461, time 750.79ms, mfu 74.63%
